player,win_count,tournament_win_probability
Sinner J.,147,0.294
Djokovic N.,78,0.156
Fritz T.,71,0.142
Zverev A.,52,0.104
Bublik A.,29,0.058
Cobolli F.,22,0.044
Struff J.L.,20,0.04
Davidovich Fokina A.,19,0.038
Auger-Aliassime F.,16,0.032
Lehecka J.,15,0.03
Hurkacz H.,13,0.026
Dimitrov G.,6,0.012
Fery A.,5,0.01
Deminaur A.,3,0.006
Safiullin R.,2,0.004
Mochizuki S.,2,0.004
Rublev A.,0,0.0
Tien L.,0,0.0
Svrcina D.,0,0.0
Vanassche L.,0,0.0
Muller A.,0,0.0
Paul T.,0,0.0
Fucsovics M.,0,0.0
Basing M.,0,0.0
Brooksby J.,0,0.0
Trungelliti M.,0,0.0
Kovacevic A.,0,0.0
Damm M.,0,0.0
Nava E.,0,0.0
Jodar R.,0,0.0
Shapovalov D.,0,0.0
Gill F.,0,0.0
Kecmanovic M.,0,0.0
Ofner S.,0,0.0
Medjedovic H.,0,0.0
Ruud C.,0,0.0
Rinderknech A.,0,0.0
Bautista Agut R.,0,0.0
Borges N.,0,0.0
Fonseca J.,0,0.0
Prizmic D.,0,0.0
Quinn E.,0,0.0
Darderi L.,0,0.0
Baez S.,0,0.0
Kwon S.W.,0,0.0
Tarvet O.,0,0.0
Walton A.,0,0.0
Boyer T.,0,0.0
Tsitsipas S.,0,0.0
Gaston H.,0,0.0
Andaluce M.,0,0.0
Tirante T.A.,0,0.0
Medvedev D.,0,0.0
Vallejo D.,0,0.0
Cilic M.,0,0.0
Marozsan F.,0,0.0
Norrie C.,0,0.0
Zheng M.,0,0.0
Merida Aguilar D.,0,0.0
Ugocarabelli C.,0,0.0
Vandezandschulp B.,0,0.0
Buse I.,0,0.0
Vukic A.,0,0.0
Carrenobusta P.,0,0.0
Wendelken H.,0,0.0
Royer V.,0,0.0
Faria J.,0,0.0
Shimabukuro S.,0,0.0
Wu Y.,0,0.0
Shevchenko A.,0,0.0
Mejia N.,0,0.0
Cerundolo J.M.,0,0.0
Shelton B.,0,0.0
Virtanen O.,0,0.0
Fearnley J.,0,0.0
Michelsen A.,0,0.0
Mannarino A.,0,0.0
Droguet T.,0,0.0
Majchrzak K.,0,0.0
Tabilo A.,0,0.0
Dzumhur D.,0,0.0
Halys Q.,0,0.0
Bonzi B.,0,0.0
De Jong J.,0,0.0
Diallo G.,0,0.0
Llamas Ruiz P.,0,0.0
Svajda Z.,0,0.0
Hijikata R.,0,0.0
Lajovic D.,0,0.0
Kokkinakis T.,0,0.0
Humbert U.,0,0.0
Bergs Z.,0,0.0
Burruchaga R.,0,0.0
Arnaldi M.,0,0.0
Hanfmann Y.,0,0.0
Mpetshiperricard G.,0,0.0
Gaubas V.,0,0.0
Jacquet K.,0,0.0
Pinnington Jones J.,0,0.0
Nakashima B.,0,0.0
Khachanov K.,0,0.0
Munar J.,0,0.0
Mensik J.,0,0.0
Cerundolo F.,0,0.0
Mcdonald M.,0,0.0
Sonego L.,0,0.0
Moutet C.,0,0.0
Etcheverry T.,0,0.0
Giron M.,0,0.0
Harris B.,0,0.0
Kypson P.,0,0.0
Samuel T.,0,0.0
Fils A.,0,0.0
Collignon R.,0,0.0
Blockx A.,0,0.0
Griekspoor T.,0,0.0
Berrettini M.,0,0.0
Wawrinka S.,0,0.0
Sweeny D.,0,0.0
Duckworth J.,0,0.0
Popyrin A.,0,0.0
Kopriva V.,0,0.0
Molcan A.,0,0.0
Choinski J.,0,0.0
Altmaier D.,0,0.0
Navone M.,0,0.0
Tiafoe F.,0,0.0
Atmane T.,0,0.0
